Name;Assassinated emperor;Reign length (years);1st century CE;2nd century CE;3rd century CE
Nerva;0;1.358011171;1;;
Trajan;0;19.52414851;1;1;
Hadrian;0;20.91227686;;1;
Antoninus Pius;0;22.65907349;;1;
Marcus Aurelius;0;19.02858394;;1;
Lucius Verus;0;7.82225386;;1;
Commodus;1;16.09352754;;1;
Pertinax;1;0.235461614;;1;
Didius Julianus;0;0.177965174;;1;
Septimius Severus;0;17.82115869;;1;1
Caracalla;1;6.174022561;;;1
Geta;1;0.870660388;;;1
Macrinus;0;1.158142591;;;1
Diadumenian;0;0.057496441;;;1
Elagalabus;1;3.822144343;;;1
Severus Alexander;1;13.02157485;;;1
Maximinus I Thrax;1;3.252655788;;;1
Gordian I;0;0.082137772;;;1
Gordian II;0;0.082137772;;;1
Pupienus;1;0.251889169;;;1
Balbinus;1;0.251889169;;;1
Gordian III;0;5.503230752;;;1
Philip I the Arab;0;5.664768371;;;1
Decius;0;1.664658854;;;1
Trebonianus Gallus;1;2.168437192;;;1
Hostilian;0;0.082137772;;;1
Aemilianus;1;0.169751396;;;1
Valerian;0;6.748986967;;;1
Gallienus;1;15.00109517;;;1
Claudius II Gothicus;0;1.579783156;;;1
Quintillus;0;0.167013471;;;1
Aurelian;1;5.418355054;;;1
Tacitus;0;0.501040412;;;1
Florianus;1;0.251889169;;;1
Probus;1;6.250684481;;;1
Carus;0;0.829591502;;;1
Carinus;0;2.420326361;;;1
Numerian;0;1.253969992;;;1
Diocletian;0;20.44135363;;;1
