,total,aureus,denarius,solidus,sestertius,antoninianus,dupondius,as,quinarius,quinarius_aureus
total,1.0,0.815,0.8304,0.3481,0.8419,0.7098,0.8831,0.8768,0.6812,0.63
aureus,0.815,1.0,0.8081,0.2909,0.7226,0.6137,0.7743,0.8015,0.6819,0.6257
denarius,0.8304,0.8081,1.0,0.2687,0.7133,0.605,0.7829,0.7775,0.6564,0.6149
solidus,0.3481,0.2909,0.2687,1.0,0.283,0.3297,0.3071,0.2954,0.4366,0.4291
sestertius,0.8419,0.7226,0.7133,0.283,1.0,0.5318,0.9008,0.8702,0.6456,0.5827
antoninianus,0.7098,0.6137,0.605,0.3297,0.5318,1.0,0.6095,0.6177,0.7534,0.6718
dupondius,0.8831,0.7743,0.7829,0.3071,0.9008,0.6095,1.0,0.9233,0.6828,0.6439
as,0.8768,0.8015,0.7775,0.2954,0.8702,0.6177,0.9233,1.0,0.6748,0.6148
quinarius,0.6812,0.6819,0.6564,0.4366,0.6456,0.7534,0.6828,0.6748,1.0,0.735
quinarius_aureus,0.63,0.6257,0.6149,0.4291,0.5827,0.6718,0.6439,0.6148,0.735,1.0
