Conflict_name,Start_date,End_date,Duration
Mutiny of legions after death of Augustus,14.00,14.00,0.00
Roman invasion in Britain,43.00,43.00,0.00
Boudica revolt,61.00,61.00,0.00
Jewish Revolt in Judea,66.00,73.00,7.00
Year of the four emeperors (Nero's death),68.00,69.00,1.00
Trajans's conquest of Dacia,101.00,106.00,5.00
Trajan'S invasion of Parthia,115.00,117.00,2.00
Bar Kokhba,132.00,135.00,3.00
War with parthia,162.00,166.00,4.00
Marcomannic Wars,170.00,180.00,10.00
Civil war after Commodus' death,192.00,195.00,3.00
Septimius Severus' invasion of Parthia,197.00,199.00,2.00
Invasion of Caledonia,208.00,210.00,2.00
Battle of Nisibis (Parthians),217.00,217.00,0.00
Battle of Antioch,218.00,218.00,0.00
War between Sassanids and Severus Alexander,231.00,232.00,1.00
Battle at the Harzhorn,235.00,235.00,0.00
Battle of Carthage,238.00,238.00,0.00
Battle of Resaena,243.00,243.00,0.00
Battle of Phillopolis,250.00,250.00,0.00
Battle of Abrittus,251.00,251.00,0.00
Battle of mediolanum,259.00,259.00,0.00
Battle fo Edessa,260.00,260.00,0.00
Battle of Naissus,268.00,268.00,0.00
Battles against Alemanni,271.00,271.00,0.00
Palmyrene battles,272.00,272.00,0.00
Battle of Chalons,274.00,274.00,0.00
Battle of the Margus,285.00,285.00,0.00
Battle of Carrhae,296.00,296.00,0.00
Battles agains Alemanni and battle of Satala,298.00,298.00,0.00
